"","counts","category","cycle_no","lambda_cycle","lambda_annualized","Rotation","Corn_weed_management"
"1",8609.24904984785,"top",2,0.860924904984785,0.927860390891208,"2-year","conventional"
"2",1859.24164844139,"bottom",2,Inf,Inf,"2-year","conventional"
"3",7201.71534090447,"top",3,0.836509119344357,0.914608724725692,"2-year","conventional"
"4",2017.29093872517,"bottom",3,1.0850073955778,1.04163688278488,"2-year","conventional"
"5",6809.22879105438,"top",4,0.945500963135708,0.972368738255045,"2-year","conventional"
"6",1822.41930288953,"bottom",4,0.903399340127515,0.950473219048025,"2-year","conventional"
"7",5990.3485619393,"top",5,0.8797396512523,0.937944375350852,"2-year","conventional"
"8",1691.96006360445,"bottom",5,0.928414257312667,0.963542556046523,"2-year","conventional"
"9",5508.36313667111,"top",6,0.919539669472563,0.958926310762492,"2-year","conventional"
"10",1482.15923602754,"bottom",6,0.876001312270948,0.935949417581392,"2-year","conventional"
"11",6144.28768750805,"top",7,1.11544710017453,1.05614729094692,"2-year","conventional"
"12",1446.21697213644,"bottom",7,0.975750065838117,0.987800620488829,"2-year","conventional"
"13",6081.11182125968,"top",8,0.98971795113422,0.99484569212226,"2-year","conventional"
"14",1457.58009529981,"bottom",8,1.00785713581177,1.003920881251,"2-year","conventional"
"15",5533.26792201228,"top",9,0.909910569752702,0.953892326079156,"2-year","conventional"
"16",1451.18157340072,"bottom",9,0.995610174754907,0.997802673255041,"2-year","conventional"
"17",4982.61916857426,"top",10,0.9004839886304,0.948938348171471,"2-year","conventional"
"18",1358.53059745534,"bottom",10,0.936154801271174,0.967550929549021,"2-year","conventional"
"19",4320.96278111454,"top",11,0.867207112349095,0.931239556907402,"2-year","conventional"
"20",1229.02358169949,"bottom",11,0.904671255841842,0.95114207973459,"2-year","conventional"
"21",3817.96188093481,"top",12,0.883590550148182,0.939994973469636,"2-year","conventional"
"22",1097.61890900699,"bottom",12,0.893082057456705,0.945030188648334,"2-year","conventional"
"23",3883.90043335432,"top",13,1.01727061570436,1.00859834210867,"2-year","conventional"
"24",985.58028254356,"bottom",13,0.89792575041843,0.947589441909538,"2-year","conventional"
"25",3521.59620916104,"top",14,0.906716397495192,0.952216570689248,"2-year","conventional"
"26",940.942726645188,"bottom",14,0.954709365955281,0.977092301655929,"2-year","conventional"
"27",3413.3178179508,"top",15,0.969253036186102,0.9845064937247,"2-year","conventional"
"28",868.272877449882,"bottom",15,0.922769104710123,0.960608715716302,"2-year","conventional"
"29",2869.7162942671,"top",16,0.840741017193043,0.916919307896307,"2-year","conventional"
"30",829.899814690618,"bottom",16,0.955805296058578,0.977652952769324,"2-year","conventional"
"31",2755.34963283785,"top",17,0.960147049498336,0.979870935122752,"2-year","conventional"
"32",715.004995174401,"bottom",17,0.861555795672699,0.928200299328059,"2-year","conventional"
"33",2350.37274041851,"top",18,0.85302159566507,0.923591682327786,"2-year","conventional"
"34",669.206772860511,"bottom",18,0.935946989709184,0.967443533085619,"2-year","conventional"
"35",2121.01504445221,"top",19,0.902416458452686,0.949956029747002,"2-year","conventional"
"36",588.985613200938,"bottom",19,0.880125003342884,0.938149776604399,"2-year","conventional"
"37",1983.01897354404,"top",20,0.934938664735494,0.966922264060299,"2-year","conventional"
"38",526.011704545895,"bottom",20,0.893080735346317,0.945029489141115,"2-year","conventional"
"39",1752.44022768502,"top",21,0.883723378880773,0.94006562477349,"2-year","conventional"
"40",484.599562184771,"bottom",21,0.921271443195594,0.959828861409988,"2-year","conventional"
"41",1677.1176758486,"top",22,0.957018475924897,0.978273211288593,"2-year","conventional"
"42",441.814134723158,"bottom",22,0.911709727370122,0.954834921528387,"2-year","conventional"
"43",1712.55569129535,"top",23,1.02113030943331,1.01050992545017,"2-year","conventional"
"44",409.289279284715,"bottom",23,0.926383397718086,0.96248812861151,"2-year","conventional"
"45",1494.08596432597,"top",24,0.872430585422812,0.934039927103126,"2-year","conventional"
"46",413.487788517204,"bottom",24,1.01025804839019,1.00511593778538,"2-year","conventional"
"47",1349.02128832727,"top",25,0.902907409973465,0.950214402108,"2-year","conventional"
"48",371.135612988798,"bottom",25,0.897573334196196,0.947403469592653,"2-year","conventional"
"49",1566.68719290019,"top",26,1.16135097826575,1.07765995484,"2-year","conventional"
"50",333.012552520418,"bottom",26,0.897279972241491,0.947248632747227,"2-year","conventional"
"51",1422.11262517371,"top",27,0.907719570070107,0.952743181592032,"2-year","conventional"
"52",370.298479867046,"bottom",27,1.11196553122226,1.05449776254967,"2-year","conventional"
"53",1233.73982540223,"top",28,0.867540167749746,0.93141836343812,"2-year","conventional"
"54",347.610745026362,"bottom",28,0.938731223393545,0.968881428965147,"2-year","conventional"
"55",1198.534467279,"top",29,0.971464519991682,0.985628997134156,"2-year","conventional"
"56",308.181690225507,"bottom",29,0.88657124279094,0.941579121896264,"2-year","conventional"
"57",1434.56981834636,"top",30,1.1969366401312,1.09404599543675,"2-year","conventional"
"58",296.004403556466,"bottom",30,0.960486664019105,0.980044215338831,"2-year","conventional"
