"Rotation","Crop_ID","Corn_weed_management","Crop","Parameter","Rank","Value","Value_rounded"
"2-year","C2","conventional","corn","t_11_s",21,0.741066632332683,"0.74"
"2-year","C2","conventional","corn","t_21_s",23,0.809579482686122,"0.81"
"2-year","C2","conventional","corn","t_12_s",27,1.65591243479521,"1.66"
"2-year","C2","conventional","corn","t_22_s",28,1.80900431060455,"1.81"
"2-year","C2","conventional","corn","d",18,0.601415719255592,"0.6"
"2-year","C2","conventional","corn","g_1",1,0,"0"
"2-year","C2","conventional","corn","g_2",1,0,"0"
"2-year","C2","conventional","corn","g_3",1,0,"0"
"2-year","C2","conventional","corn","g_4",1,0,"0"
"2-year","C2","conventional","corn","g_5",1,0,"0"
"2-year","C2","conventional","corn","g_6",1,0,"0"
"2-year","C2","conventional","corn","s_s1",14,0.432755046368531,"0.43"
"2-year","C2","conventional","corn","s_s2",15,0.495470507965629,"0.5"
"2-year","C2","conventional","corn","s_p1",1,0,"0"
"2-year","C2","conventional","corn","s_p2",1,0,"0"
"2-year","C2","conventional","corn","s_p3",1,0,"0"
"2-year","C2","conventional","corn","s_p4",1,0,"0"
"2-year","C2","conventional","corn","s_p5",1,0,"0"
"2-year","C2","conventional","corn","s_p6",1,0,"0"
"2-year","C2","conventional","corn","f_1",31,188.395770000469,"188.4"
"2-year","C2","conventional","corn","f_2",30,44.9928724374048,"44.99"
"2-year","C2","conventional","corn","f_3",29,10.2749874881532,"10.27"
"2-year","C2","conventional","corn","f_4",26,1.65092107047628,"1.65"
"2-year","C2","conventional","corn","f_5",17,0.593224873711102,"0.59"
"2-year","C2","conventional","corn","f_6",22,0.743668953301086,"0.74"
"2-year","C2","conventional","corn","t_11_f",16,0.522697207492739,"0.52"
"2-year","C2","conventional","corn","t_21_f",20,0.669710554786634,"0.67"
"2-year","C2","conventional","corn","t_12_f",24,0.949920647003418,"0.95"
"2-year","C2","conventional","corn","t_22_f",25,1.21709447532638,"1.22"
"2-year","C2","conventional","corn","o_11",19,0.642590375448359,"0.64"
"2-year","C2","conventional","corn","o_22",13,0.414172640642683,"0.41"
"2-year","C2","low","corn","t_11_s",23,0.388316004390633,"0.39"
"2-year","C2","low","corn","t_21_s",24,0.424216468853479,"0.42"
"2-year","C2","low","corn","t_12_s",27,0.867691611314884,"0.87"
"2-year","C2","low","corn","t_22_s",28,0.947911152885422,"0.95"
"2-year","C2","low","corn","d",20,0.315139474494932,"0.32"
"2-year","C2","low","corn","g_1",1,0,"0"
"2-year","C2","low","corn","g_2",1,0,"0"
"2-year","C2","low","corn","g_3",1,0,"0"
"2-year","C2","low","corn","g_4",1,0,"0"
"2-year","C2","low","corn","g_5",1,0,"0"
"2-year","C2","low","corn","g_6",1,0,"0"
"2-year","C2","low","corn","s_s1",17,0.226761944410785,"0.23"
"2-year","C2","low","corn","s_s2",18,0.259624599937779,"0.26"
"2-year","C2","low","corn","s_p1",1,0,"0"
"2-year","C2","low","corn","s_p2",1,0,"0"
"2-year","C2","low","corn","s_p3",1,0,"0"
"2-year","C2","low","corn","s_p4",1,0,"0"
"2-year","C2","low","corn","s_p5",1,0,"0"
"2-year","C2","low","corn","s_p6",1,0,"0"
"2-year","C2","low","corn","f_1",31,19.1794969242396,"19.18"
"2-year","C2","low","corn","f_2",30,4.58046727123311,"4.58"
"2-year","C2","low","corn","f_3",29,1.04603776892201,"1.05"
"2-year","C2","low","corn","f_4",15,0.168070841469972,"0.17"
"2-year","C2","low","corn","f_5",13,0.0603928349383649,"0.06"
"2-year","C2","low","corn","f_6",14,0.0757086871029808,"0.08"
"2-year","C2","low","corn","t_11_f",19,0.273891283541968,"0.27"
"2-year","C2","low","corn","t_21_f",22,0.350925700047217,"0.35"
"2-year","C2","low","corn","t_12_f",25,0.497754687687703,"0.5"
"2-year","C2","low","corn","t_22_f",26,0.637752724255008,"0.64"
"2-year","C2","low","corn","o_11",21,0.33671483260356,"0.34"
"2-year","C2","low","corn","o_22",16,0.217024836803182,"0.22"
"2-year","S2","conventional","soybean","t_11_s",23,0.828123784791142,"0.83"
"2-year","S2","conventional","soybean","t_21_s",27,1.19491615574675,"1.19"
"2-year","S2","conventional","soybean","t_12_s",24,0.864510638850148,"0.86"
"2-year","S2","conventional","soybean","t_22_s",29,1.24741946572338,"1.25"
"2-year","S2","conventional","soybean","d",26,1.00787010696617,"1.01"
"2-year","S2","conventional","soybean","g_1",1,0,"0"
"2-year","S2","conventional","soybean","g_2",1,0,"0"
"2-year","S2","conventional","soybean","g_3",1,0,"0"
"2-year","S2","conventional","soybean","g_4",1,0,"0"
"2-year","S2","conventional","soybean","g_5",1,0,"0"
"2-year","S2","conventional","soybean","g_6",1,0,"0"
"2-year","S2","conventional","soybean","s_s1",13,0.0833662713631111,"0.08"
"2-year","S2","conventional","soybean","s_s2",19,0.304578335618589,"0.3"
"2-year","S2","conventional","soybean","s_p1",1,0,"0"
"2-year","S2","conventional","soybean","s_p2",1,0,"0"
"2-year","S2","conventional","soybean","s_p3",1,0,"0"
"2-year","S2","conventional","soybean","s_p4",1,0,"0"
"2-year","S2","conventional","soybean","s_p5",1,0,"0"
"2-year","S2","conventional","soybean","s_p6",1,0,"0"
"2-year","S2","conventional","soybean","f_1",30,2.81264454329595,"2.81"
"2-year","S2","conventional","soybean","f_2",31,15.4498364371003,"15.45"
"2-year","S2","conventional","soybean","f_3",28,1.22912538286539,"1.23"
"2-year","S2","conventional","soybean","f_4",25,0.889657736211718,"0.89"
"2-year","S2","conventional","soybean","f_5",21,0.710331511601201,"0.71"
"2-year","S2","conventional","soybean","f_6",20,0.676611188930778,"0.68"
"2-year","S2","conventional","soybean","t_11_f",14,0.100777437263814,"0.1"
"2-year","S2","conventional","soybean","t_21_f",15,0.101945019575007,"0.1"
"2-year","S2","conventional","soybean","t_12_f",17,0.263210863557247,"0.26"
"2-year","S2","conventional","soybean","t_22_f",18,0.266260359126366,"0.27"
"2-year","S2","conventional","soybean","o_11",22,0.784084085581227,"0.78"
"2-year","S2","conventional","soybean","o_22",16,0.193962104377826,"0.19"
"2-year","S2","low","soybean","t_11_s",21,0.433933610313441,"0.43"
"2-year","S2","low","soybean","t_21_s",24,0.626131371912978,"0.63"
"2-year","S2","low","soybean","t_12_s",22,0.453000178910738,"0.45"
"2-year","S2","low","soybean","t_22_s",25,0.653642900104755,"0.65"
"2-year","S2","low","soybean","d",23,0.528119977079427,"0.53"
"2-year","S2","low","soybean","g_1",1,0,"0"
"2-year","S2","low","soybean","g_2",1,0,"0"
"2-year","S2","low","soybean","g_3",1,0,"0"
"2-year","S2","low","soybean","g_4",1,0,"0"
"2-year","S2","low","soybean","g_5",1,0,"0"
"2-year","S2","low","soybean","g_6",1,0,"0"
"2-year","S2","low","soybean","s_s1",13,0.0436835987268359,"0.04"
"2-year","S2","low","soybean","s_s2",19,0.159597851463192,"0.16"
"2-year","S2","low","soybean","s_p1",1,0,"0"
"2-year","S2","low","soybean","s_p2",1,0,"0"
"2-year","S2","low","soybean","s_p3",1,0,"0"
"2-year","S2","low","soybean","s_p4",1,0,"0"
"2-year","S2","low","soybean","s_p5",1,0,"0"
"2-year","S2","low","soybean","s_p6",1,0,"0"
"2-year","S2","low","soybean","f_1",30,6.53764341012335,"6.54"
"2-year","S2","low","soybean","f_2",31,35.9112286731158,"35.91"
"2-year","S2","low","soybean","f_3",29,2.85694951345999,"2.86"
"2-year","S2","low","soybean","f_4",28,2.06789907038665,"2.07"
"2-year","S2","low","soybean","f_5",27,1.65107750173816,"1.65"
"2-year","S2","low","soybean","f_6",26,1.57269879376421,"1.57"
"2-year","S2","low","soybean","t_11_f",14,0.0528069812667589,"0.05"
"2-year","S2","low","soybean","t_21_f",15,0.0534187898114945,"0.05"
"2-year","S2","low","soybean","t_12_f",17,0.137921458596822,"0.14"
"2-year","S2","low","soybean","t_22_f",18,0.139519382296449,"0.14"
"2-year","S2","low","soybean","o_11",20,0.410856980917878,"0.41"
"2-year","S2","low","soybean","o_22",16,0.101635380799852,"0.1"
"3-year","C3","conventional","corn","t_11_s",14,0.0192474383189629,"0.02"
"3-year","C3","conventional","corn","t_21_s",16,0.0951212278629566,"0.1"
"3-year","C3","conventional","corn","t_12_s",22,0.415302259968628,"0.42"
"3-year","C3","conventional","corn","t_22_s",26,2.05243213397165,"2.05"
"3-year","C3","conventional","corn","d",21,0.302406662718297,"0.3"
"3-year","C3","conventional","corn","g_1",1,0,"0"
"3-year","C3","conventional","corn","g_2",1,0,"0"
"3-year","C3","conventional","corn","g_3",1,0,"0"
"3-year","C3","conventional","corn","g_4",1,0,"0"
"3-year","C3","conventional","corn","g_5",1,0,"0"
"3-year","C3","conventional","corn","g_6",1,0,"0"
"3-year","C3","conventional","corn","s_s1",13,0.0115629921801074,"0.01"
"3-year","C3","conventional","corn","s_s2",20,0.237619386874761,"0.24"
"3-year","C3","conventional","corn","s_p1",10,2.27582261235416e-07,"0"
"3-year","C3","conventional","corn","s_p2",11,4.13696059560669e-07,"0"
"3-year","C3","conventional","corn","s_p3",12,4.38983627298918e-06,"0"
"3-year","C3","conventional","corn","s_p4",9,1.56608584532628e-07,"0"
"3-year","C3","conventional","corn","s_p5",8,9.29035093652001e-09,"0"
"3-year","C3","conventional","corn","s_p6",7,2.27742710124217e-10,"0"
"3-year","C3","conventional","corn","f_1",29,44.5976152164602,"44.6"
"3-year","C3","conventional","corn","f_2",31,79.1251384907779,"79.13"
"3-year","C3","conventional","corn","f_3",30,51.7356234785206,"51.74"
"3-year","C3","conventional","corn","f_4",28,34.0354545155587,"34.04"
"3-year","C3","conventional","corn","f_5",27,5.0924055535563,"5.09"
"3-year","C3","conventional","corn","f_6",25,1.64525008617023,"1.65"
"3-year","C3","conventional","corn","t_11_f",15,0.0621726973086306,"0.06"
"3-year","C3","conventional","corn","t_21_f",19,0.203102110598588,"0.2"
"3-year","C3","conventional","corn","t_12_f",18,0.193358984638636,"0.19"
"3-year","C3","conventional","corn","t_22_f",23,0.631653757731616,"0.63"
"3-year","C3","conventional","corn","o_11",17,0.10770271078917,"0.11"
"3-year","C3","conventional","corn","o_22",24,1.15951556737859,"1.16"
"3-year","C3","low","corn","t_11_s",14,0.0145922884184271,"0.01"
"3-year","C3","low","corn","t_21_s",16,0.0721153832883657,"0.07"
"3-year","C3","low","corn","t_12_s",22,0.314858022031752,"0.31"
"3-year","C3","low","corn","t_22_s",26,1.55603468689416,"1.56"
"3-year","C3","low","corn","d",21,0.229267145524079,"0.23"
"3-year","C3","low","corn","g_1",1,0,"0"
"3-year","C3","low","corn","g_2",1,0,"0"
"3-year","C3","low","corn","g_3",1,0,"0"
"3-year","C3","low","corn","g_4",1,0,"0"
"3-year","C3","low","corn","g_5",1,0,"0"
"3-year","C3","low","corn","g_6",1,0,"0"
"3-year","C3","low","corn","s_s1",13,0.00876638823702102,"0.01"
"3-year","C3","low","corn","s_s2",20,0.180149200617008,"0.18"
"3-year","C3","low","corn","s_p1",10,1.72539635655991e-07,"0"
"3-year","C3","low","corn","s_p2",11,3.13640294289373e-07,"0"
"3-year","C3","low","corn","s_p3",12,3.32811857575979e-06,"0"
"3-year","C3","low","corn","s_p4",9,1.18731521381224e-07,"0"
"3-year","C3","low","corn","s_p5",8,7.04340380925086e-09,"0"
"3-year","C3","low","corn","s_p6",7,1.72661278672739e-10,"0"
"3-year","C3","low","corn","f_1",29,15.404846478307,"15.4"
"3-year","C3","low","corn","f_2",31,27.3312957455028,"27.33"
"3-year","C3","low","corn","f_3",30,17.8704474057158,"17.87"
"3-year","C3","low","corn","f_4",28,11.7564795580834,"11.76"
"3-year","C3","low","corn","f_5",27,1.75901167309186,"1.76"
"3-year","C3","low","corn","f_6",24,0.568300006017349,"0.57"
"3-year","C3","low","corn","t_11_f",15,0.0471357235100358,"0.05"
"3-year","C3","low","corn","t_21_f",19,0.15398020906117,"0.15"
"3-year","C3","low","corn","t_12_f",18,0.146593537559819,"0.15"
"3-year","C3","low","corn","t_22_f",23,0.478883145936465,"0.48"
"3-year","C3","low","corn","o_11",17,0.0816539319798006,"0.08"
"3-year","C3","low","corn","o_22",25,0.879077272749316,"0.88"
"3-year","S3","conventional","soybean","t_11_s",20,0.186359847986397,"0.19"
"3-year","S3","conventional","soybean","t_21_s",25,0.492382177163849,"0.49"
"3-year","S3","conventional","soybean","t_12_s",26,0.625795736169917,"0.63"
"3-year","S3","conventional","soybean","t_22_s",31,1.65341767749075,"1.65"
"3-year","S3","conventional","soybean","d",18,0.102590508261654,"0.1"
"3-year","S3","conventional","soybean","g_1",1,0,"0"
"3-year","S3","conventional","soybean","g_2",1,0,"0"
"3-year","S3","conventional","soybean","g_3",1,0,"0"
"3-year","S3","conventional","soybean","g_4",1,0,"0"
"3-year","S3","conventional","soybean","g_5",1,0,"0"
"3-year","S3","conventional","soybean","g_6",1,0,"0"
"3-year","S3","conventional","soybean","s_s1",16,0.045977066173934,"0.05"
"3-year","S3","conventional","soybean","s_s2",27,0.665373952981463,"0.67"
"3-year","S3","conventional","soybean","s_p1",12,9.32466196527115e-06,"0"
"3-year","S3","conventional","soybean","s_p2",11,3.62593860659676e-07,"0"
"3-year","S3","conventional","soybean","s_p3",10,6.04823699339532e-10,"0"
"3-year","S3","conventional","soybean","s_p4",9,4.60525414336177e-13,"0"
"3-year","S3","conventional","soybean","s_p5",7,5.11771513745934e-16,"0"
"3-year","S3","conventional","soybean","s_p6",8,4.04714455324697e-15,"0"
"3-year","S3","conventional","soybean","f_1",30,1.31475386925368,"1.31"
"3-year","S3","conventional","soybean","f_2",22,0.259159640994402,"0.26"
"3-year","S3","conventional","soybean","f_3",17,0.0613686136459456,"0.06"
"3-year","S3","conventional","soybean","f_4",13,0.00157465005695696,"0"
"3-year","S3","conventional","soybean","f_5",14,0.00737348809042926,"0.01"
"3-year","S3","conventional","soybean","f_6",15,0.0209627371978799,"0.02"
"3-year","S3","conventional","soybean","t_11_f",19,0.110532240620684,"0.11"
"3-year","S3","conventional","soybean","t_21_f",24,0.285604756627307,"0.29"
"3-year","S3","conventional","soybean","t_12_f",23,0.280296222174607,"0.28"
"3-year","S3","conventional","soybean","t_22_f",28,0.724258676637667,"0.72"
"3-year","S3","conventional","soybean","o_11",21,0.190868864104946,"0.19"
"3-year","S3","conventional","soybean","o_22",29,1.16413305938464,"1.16"
"3-year","S3","low","soybean","t_11_s",20,0.141287199177696,"0.14"
"3-year","S3","low","soybean","t_21_s",25,0.373295532745737,"0.37"
"3-year","S3","low","soybean","t_12_s",26,0.474441934655613,"0.47"
"3-year","S3","low","soybean","t_22_s",31,1.25352513026632,"1.25"
