"Crop_ID","Corn_weed_management","(Intercept)_estimate","(Intercept)_std.error","log(Biomass + 0.005)_estimate","log(Biomass + 0.005)_std.error"
"C2","conv",6.06905602771259,0.183372157091615,1.24235504735461,0.083118722634493
"C2","low",5.87687631703793,0.222051587636823,1.22377768735882,0.112330621428247
"S2","conv",6.30108504448316,0.309954817625777,1.13745051869833,0.108425428136933
"S2","low",7.06960660561323,0.216981467406012,0.967282799721412,0.0730781280843443
"C3","conv",5.85690095933975,0.25472986376202,1.25631307675479,0.136089807433606
"C3","low",5.10626697764757,0.351687377093336,0.657680231972084,0.207868836698461
"S3","conv",7.25024156060443,0.443793124785391,0.964520892485022,0.0887252171228537
"S3","low",4.8927511313616,0.820208249907511,1.46753384948911,0.200224277065683
"O3","conv",5.73470721634883,0.240049576945593,1.29023490000565,0.221688355879025
"O3","low",5.64284191402803,0.20649286561547,0.597245440720978,0.178295751889777
"C4","conv",5.89846307626179,0.604952799353275,1.26011205982566,0.294394129784425
"C4","low",6.04306248175451,0.163771736670763,1.40884654779024,0.103314964365399
"S4","conv",7.56639063512573,0.413433256016183,0.754611492373439,0.116697077819052
"S4","low",7.32862711707434,0.563366290132967,0.735331174897435,0.190128646358062
"O4","conv",6.05320453522936,0.180151183928239,1.0081809456149,0.157900059556003
"O4","low",6.28802261736731,0.141915582133735,0.923247081449967,0.134145727897249
"A4","conv",3.0574205867251,0.671931051261258,0.796173971425441,0.353749282554788
"A4","low",1.97020271119875,0.429687301409436,0.502618860929977,0.200947971243999
